start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):2:0x44","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,1
"(3, 3):(0, 0)|(3, 3):2:0x45","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):2:0x46","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):2:0x47","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,3
"(3, 3):(0, 0)|(3, 3):2:0x4c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):2:0x4d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,3
"(3, 3):(0, 0)|(3, 3):2:0x4e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):2:0x4f","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,3,4,4,4
"(3, 3):(0, 0)|(3, 3):2:0x54","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,4,4,2
"(3, 3):(0, 0)|(3, 3):2:0x55","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,3,4,4,3
"(3, 3):(0, 0)|(3, 3):2:0x56","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,4,4,5
"(3, 3):(0, 0)|(3, 3):2:0x57","(54, 23):(0, 0)|(54, 23):5:0x18000000000000000000000070000210000320004580034220031cc0023100000000000000000400001400006c000090018360030280000200000000030000060e0000000000000001800003000000000000000300000c00000400000000000000000000000000000000000000000030000060000000000000000000000000000000040000c8300209980ca4080c43900e24e00006000044000010",survival,0,3,3,54,23,99
"(3, 3):(0, 0)|(3, 3):2:0x5c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,5
"(3, 3):(0, 0)|(3, 3):2:0x5d","(23, 54):(0, 0)|(23, 54):8:0x20000000000000c000000000000581800000000008060000000000000000800000840006060000020d801814000200a6000000001c027000000000980900400000022018078180000280063106000000003118800001b00003c200000100000408000000800000000000088000000000004000000000000160000000000c095000000000302580000000000048000000000001200000000000038",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):2:0x5e","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):2:0x5f","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x61","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x62","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x63","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x64","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x65","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x66","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):2:0x67","(3, 3):(0, 0)|(3, 3):0:0x172",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):2:0x69","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,13
"(3, 3):(0, 0)|(3, 3):2:0x6a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):2:0x6b","(3, 3):(0, 0)|(3, 3):0:0x11e",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):2:0x6c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x6d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):2:0x6e","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):2:0x6f","(50, 24):(0, 0)|(50, 24):14:0x300000300000440000560000f06001f69002469001806000000000000003800004400006c0000420000360c00220c001c00000000000060007060000000000000000c00000c000000000000200000300000500000000000000000000000000000000000000000000c00000c00000000000000000000000000000000000c00002129800145c0c04060832f408107806c02001c0000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):2:0x71","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,12
"(3, 3):(0, 0)|(3, 3):2:0x72","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):2:0x73","(3, 3):(0, 0)|(3, 3):1:0xa7",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):2:0x74","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):2:0x75","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):2:0x76","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,3,3,54,54,2
